Random State,Accuracy,Precision (Macro),Recall (Macro),F1-score (Macro),Class distribution
42,0.9743589743589743,0.9871794871794872,0.8888888888888888,0.926797385620915,"Counter({1: 25, 2: 11, 0: 3})"
47,0.9230769230769231,0.6309523809523809,0.6666666666666666,0.6477987421383649,"Counter({1: 25, 2: 11, 0: 3})"
52,0.9487179487179487,0.9588888888888888,0.8755555555555555,0.9055072463768116,"Counter({1: 25, 2: 11, 0: 3})"
58,0.9743589743589743,0.9871794871794872,0.9696969696969697,0.9775910364145659,"Counter({1: 25, 2: 11, 0: 3})"
63,1.0,1.0,1.0,1.0,"Counter({1: 25, 2: 11, 0: 3})"
