Iteration,Accuracy,Precision (Macro),Recall (Macro),F1-score (Macro),Class distribution
1,0.37662337662337664,0.20969267139479905,0.5362318840579711,0.22222222222222224,"Counter({1: 46, 2: 30, 0: 1})"
2,0.36363636363636365,0.2191062471500228,0.5289855072463768,0.22129481005885498,"Counter({1: 46, 2: 30, 0: 1})"
3,0.38961038961038963,0.20918367346938774,0.5434782608695653,0.22649727767695096,"Counter({1: 46, 2: 30, 0: 1})"
4,0.38961038961038963,0.20918367346938774,0.5434782608695653,0.22649727767695096,"Counter({1: 46, 2: 30, 0: 1})"
5,0.36363636363636365,0.2191062471500228,0.5289855072463768,0.22129481005885498,"Counter({1: 46, 2: 30, 0: 1})"
