Attempt,Seed,Accuracy,Precision (Macro),Recall (Macro),F1-score (Macro),Class distribution
1,47,0.8,0.75,0.7045454545454546,0.7204968944099379,"Counter({0: 11, 1: 4})"
2,48,0.8666666666666667,0.9230769230769231,0.75,0.7916666666666666,"Counter({0: 11, 1: 4})"
3,49,0.8666666666666667,0.9230769230769231,0.75,0.7916666666666666,"Counter({0: 11, 1: 4})"
4,50,0.8,0.8928571428571428,0.625,0.64,"Counter({0: 11, 1: 4})"
5,51,0.7333333333333333,0.6590909090909092,0.6590909090909092,0.6590909090909092,"Counter({0: 11, 1: 4})"
