Attempt,Seed,Accuracy,Precision (Macro),Recall (Macro),F1-score (Macro),Class distribution
1,44,0.6,0.37878787878787873,0.3925925925925926,0.3814814814814815,"Counter({0: 9, 1: 5, 2: 1})"
2,45,0.6,0.25,0.3333333333333333,0.2857142857142857,"Counter({0: 9, 1: 5, 2: 1})"
3,46,0.4,0.2518518518518518,0.2518518518518518,0.2518518518518518,"Counter({0: 9, 1: 5, 2: 1})"
4,47,0.6666666666666666,0.5185185185185185,0.4296296296296296,0.46296296296296297,"Counter({0: 9, 1: 5, 2: 1})"
5,48,0.4666666666666667,0.2333333333333333,0.25925925925925924,0.24561403508771928,"Counter({0: 9, 1: 5, 2: 1})"
